root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:16.126394 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 148900:149056, ack 73, win 501, length 156
15:45:16.126535 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149056:149212, ack 73, win 501, length 156
15:45:16.126678 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149212:149368, ack 73, win 501, length 156
15:45:16.126846 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149368:149524, ack 73, win 501, length 156
15:45:16.126999 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149524:149680, ack 73, win 501, length 156
15:45:16.127492 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149680:149836, ack 73, win 501, length 156
15:45:16.127720 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149836:149992, ack 73, win 501, length 156
15:45:16.127819 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 140892, win 18769, length 0
15:45:16.127977 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 149992:150252, ack 73, win 501, length 260
15:45:16.128152 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 150252:150408, ack 73, win 501, length 156
15:45:16.128289 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 150408:150564, ack 73, win 501, length 156
15:45:16.128442 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 150564:150720, ack 73, win 501, length 156
15:45:16.128599 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 150720:150876, ack 73, win 501, length 156
15:45:16.128752 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 150876:151032, ack 73, win 501, length 156
15:45:16.128892 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151032:151188, ack 73, win 501, length 156
15:45:16.129017 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151188:151344, ack 73, win 501, length 156
15:45:16.129149 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151344:151500, ack 73, win 501, length 156
15:45:16.129383 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151500:151656, ack 73, win 501, length 156
15:45:16.129523 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151656:151812, ack 73, win 501, length 156
15:45:16.129674 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151812:151968, ack 73, win 501, length 156
15:45:16.129864 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 151968:152124, ack 73, win 501, length 156
15:45:16.130051 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 152124:152280, ack 73, win 501, length 156
15:45:16.130241 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 152280:152436, ack 73, win 501, length 156
15:45:16.130437 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 152436:152592, ack 73, win 501, length 156
15:45:16.130632 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 152592:152748, ack 73, win 501, length 156
15:45:16.130783 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 152748:152904, ack 73, win 501, length 156
15:45:16.130913 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 152904:153060, ack 73, win 501, length 156
15:45:16.131075 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153060:153216, ack 73, win 501, length 156
15:45:16.131206 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153216:153372, ack 73, win 501, length 156
15:45:16.131325 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153372:153528, ack 73, win 501, length 156
15:45:16.131467 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153528:153684, ack 73, win 501, length 156
15:45:16.131624 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153684:153840, ack 73, win 501, length 156
15:45:16.131750 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153840:153996, ack 73, win 501, length 156
15:45:16.131874 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 153996:154152, ack 73, win 501, length 156
15:45:16.132008 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 154152:154308, ack 73, win 501, length 156
15:45:16.132152 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 154308:154464, ack 73, win 501, length 156
15:45:16.132297 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 154464:154620, ack 73, win 501, length 156
15:45:16.132468 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 154620:154776, ack 73, win 501, length 156
15:45:16.132634 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 154776:154932, ack 73, win 501, length 156
15:45:16.132734 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 143024, win 18772, length 0
15:45:16.132771 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 145208, win 18771, length 0
15:45:16.132987 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 154932:155296, ack 73, win 501, length 364
15:45:16.133209 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 148588, win 18772, length 0
15:45:16.133389 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 155296:155556, ack 73, win 501, length 260
15:45:16.133568 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 155556:155712, ack 73, win 501, length 156
15:45:16.133709 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 155712:155868, ack 73, win 501, length 156
15:45:16.133918 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 155868:156024, ack 73, win 501, length 156
15:45:16.134073 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156024:156180, ack 73, win 501, length 156
15:45:16.134209 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156180:156336, ack 73, win 501, length 156
15:45:16.134400 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156336:156492, ack 73, win 501, length 156
15:45:16.134613 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156492:156648, ack 73, win 501, length 156
15:45:16.134802 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156648:156804, ack 73, win 501, length 156
15:45:16.134986 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156804:156960, ack 73, win 501, length 156
15:45:16.135195 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 156960:157116, ack 73, win 501, length 156
15:45:16.135404 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 157116:157272, ack 73, win 501, length 156
15:45:16.135560 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 157272:157428, ack 73, win 501, length 156
15:45:16.135755 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 157428:157584, ack 73, win 501, length 156
15:45:16.135897 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 157584:157740, ack 73, win 501, length 156
15:45:16.136040 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 157740:157896, ack 73, win 501, length 156
15:45:16.136182 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 157896:158052, ack 73, win 501, length 156
15:45:16.136308 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158052:158208, ack 73, win 501, length 156
15:45:16.136433 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158208:158364, ack 73, win 501, length 156
15:45:16.136554 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158364:158520, ack 73, win 501, length 156
15:45:16.136684 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158520:158676, ack 73, win 501, length 156
15:45:16.136844 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158676:158832, ack 73, win 501, length 156
15:45:16.136986 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158832:158988, ack 73, win 501, length 156
15:45:16.137105 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 158988:159144, ack 73, win 501, length 156
15:45:16.137267 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 159144:159300, ack 73, win 501, length 156
15:45:16.137403 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 159300:159456, ack 73, win 501, length 156
15:45:16.137535 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 159456:159612, ack 73, win 501, length 156
15:45:16.137656 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 159612:159768, ack 73, win 501, length 156
15:45:16.137799 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 159768:159924, ack 73, win 501, length 156
15:45:16.137950 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 159924:160080, ack 73, win 501, length 156
15:45:16.138094 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 160080:160236, ack 73, win 501, length 156
15:45:16.138246 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 160236:160392, ack 73, win 501, length 156
15:45:16.138373 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 160392:160548, ack 73, win 501, length 156
15:45:16.138539 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 160548:160704, ack 73, win 501, length 156
15:45:16.138662 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 160704:160860, ack 73, win 501, length 156
15:45:16.138792 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 160860:161016, ack 73, win 501, length 156
15:45:16.138932 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161016:161172, ack 73, win 501, length 156
15:45:16.139089 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161172:161328, ack 73, win 501, length 156
15:45:16.139241 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161328:161484, ack 73, win 501, length 156
15:45:16.139394 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161484:161640, ack 73, win 501, length 156
15:45:16.139540 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161640:161796, ack 73, win 501, length 156
15:45:16.139758 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161796:161952, ack 73, win 501, length 156
15:45:16.139903 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 161952:162108, ack 73, win 501, length 156
15:45:16.140057 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 162108:162264, ack 73, win 501, length 156
15:45:16.140212 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 162264:162420, ack 73, win 501, length 156
15:45:16.140355 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 162420:162576, ack 73, win 501, length 156
15:45:16.140509 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 162576:162732, ack 73, win 501, length 156
15:45:16.140654 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 162732:162888, ack 73, win 501, length 156
15:45:16.140850 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 162888:163044, ack 73, win 501, length 156
15:45:16.141001 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163044:163200, ack 73, win 501, length 156
15:45:16.141143 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163200:163356, ack 73, win 501, length 156
15:45:16.141271 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163356:163512, ack 73, win 501, length 156
15:45:16.141394 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163512:163668, ack 73, win 501, length 156
15:45:16.141555 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163668:163824, ack 73, win 501, length 156
15:45:16.141694 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163824:163980, ack 73, win 501, length 156
15:45:16.141839 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 163980:164136, ack 73, win 501, length 156
15:45:16.141984 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 164136:164292, ack 73, win 501, length 156
15:45:16.142135 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 164292:164448, ack 73, win 501, length 156
15:45:16.142279 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 164448:164604, ack 73, win 501, length 156
15:45:16.142431 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 164604:164760, ack 73, win 501, length 156
15:45:16.142568 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 164760:164916, ack 73, win 501, length 156
15:45:16.142703 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 164916:165072, ack 73, win 501, length 156
15:45:16.142847 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 165072:165228, ack 73, win 501, length 156
15:45:16.142994 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 165228:165384, ack 73, win 501, length 156
15:45:16.143304 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 165384:165540, ack 73, win 501, length 156
15:45:16.143486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 165540:165696, ack 73, win 501, length 156
15:45:16.143678 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 165696:165852, ack 73, win 501, length 156
15:45:16.143852 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 154152, win 18772, length 0
15:45:16.144304 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 165852:166008, ack 73, win 501, length 156
15:45:16.144418 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 166008:166148, ack 73, win 501, length 140
15:45:16.144614 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 166148:166424, ack 73, win 501, length 276
15:45:16.144779 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 166424:166580, ack 73, win 501, length 156
15:45:16.144939 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 166580:166736, ack 73, win 501, length 156
15:45:16.145098 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 166736:166892, ack 73, win 501, length 156
15:45:16.145271 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 166892:167048, ack 73, win 501, length 156
15:45:16.145426 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167048:167204, ack 73, win 501, length 156
15:45:16.145587 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167204:167360, ack 73, win 501, length 156
15:45:16.145754 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167360:167516, ack 73, win 501, length 156
15:45:16.145922 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167516:167672, ack 73, win 501, length 156
15:45:16.146084 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167672:167828, ack 73, win 501, length 156
15:45:16.146248 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167828:167984, ack 73, win 501, length 156
15:45:16.146405 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 167984:168140, ack 73, win 501, length 156
15:45:16.146568 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 168140:168296, ack 73, win 501, length 156
15:45:16.146732 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 168296:168452, ack 73, win 501, length 156
15:45:16.146895 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 168452:168608, ack 73, win 501, length 156
15:45:16.147157 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 168608:168764, ack 73, win 501, length 156
15:45:16.147395 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 168764:168920, ack 73, win 501, length 156
15:45:16.147701 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 156960, win 18774, length 0
15:45:16.147890 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 168920:169180, ack 73, win 501, length 260
15:45:16.148089 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 169180:169336, ack 73, win 501, length 156
15:45:16.148286 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 169336:169492, ack 73, win 501, length 156
15:45:16.148471 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 169492:169648, ack 73, win 501, length 156
15:45:16.148659 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 169648:169804, ack 73, win 501, length 156
15:45:16.148740 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 163044, win 18772, length 0
15:45:16.148973 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 169804:170064, ack 73, win 501, length 260
15:45:16.149172 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 170064:170220, ack 73, win 501, length 156
15:45:16.149369 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 170220:170376, ack 73, win 501, length 156
15:45:16.149557 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 170376:170532, ack 73, win 501, length 156
15:45:16.149742 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 170532:170688, ack 73, win 501, length 156
15:45:16.149925 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 170688:170844, ack 73, win 501, length 156
15:45:16.150123 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 170844:171000, ack 73, win 501, length 156
15:45:16.150360 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171000:171156, ack 73, win 501, length 156
15:45:16.150552 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171156:171312, ack 73, win 501, length 156
15:45:16.150735 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171312:171468, ack 73, win 501, length 156
15:45:16.150919 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171468:171624, ack 73, win 501, length 156
15:45:16.151144 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171624:171780, ack 73, win 501, length 156
15:45:16.151344 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171780:171936, ack 73, win 501, length 156
15:45:16.151527 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 171936:172092, ack 73, win 501, length 156
15:45:16.151741 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 172092:172248, ack 73, win 501, length 156
15:45:16.151930 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 172248:172404, ack 73, win 501, length 156
15:45:16.152109 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 172404:172560, ack 73, win 501, length 156
15:45:16.152299 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 172560:172716, ack 73, win 501, length 156
15:45:16.152496 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 172716:172872, ack 73, win 501, length 156
15:45:16.152684 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 172872:173028, ack 73, win 501, length 156
15:45:16.152886 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173028:173184, ack 73, win 501, length 156
15:45:16.153090 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173184:173340, ack 73, win 501, length 156
15:45:16.153268 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173340:173496, ack 73, win 501, length 156
15:45:16.153452 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173496:173652, ack 73, win 501, length 156
15:45:16.153649 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173652:173808, ack 73, win 501, length 156
15:45:16.153829 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173808:173964, ack 73, win 501, length 156
15:45:16.154018 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 173964:174120, ack 73, win 501, length 156
15:45:16.154212 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 174120:174276, ack 73, win 501, length 156
15:45:16.154396 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 174276:174432, ack 73, win 501, length 156
15:45:16.154631 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 174432:174588, ack 73, win 501, length 156
15:45:16.154798 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 174588:174744, ack 73, win 501, length 156
15:45:16.154931 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 174744:174900, ack 73, win 501, length 156
15:45:16.155081 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 174900:175056, ack 73, win 501, length 156
15:45:16.155207 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175056:175212, ack 73, win 501, length 156
15:45:16.155330 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175212:175368, ack 73, win 501, length 156
15:45:16.155456 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175368:175524, ack 73, win 501, length 156
15:45:16.155586 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175524:175680, ack 73, win 501, length 156
15:45:16.155733 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175680:175836, ack 73, win 501, length 156
15:45:16.155852 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175836:175992, ack 73, win 501, length 156
15:45:16.155933 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 164292, win 18774, length 0
15:45:16.155968 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 169648, win 18771, length 0
15:45:16.155999 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [P.], seq 73:109, ack 164292, win 18774, length 36
15:45:16.156179 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 175992:176476, ack 109, win 501, length 484
15:45:16.156333 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 176476:176632, ack 109, win 501, length 156
15:45:16.156490 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 176632:176788, ack 109, win 501, length 156
15:45:16.156637 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 176788:176944, ack 109, win 501, length 156
15:45:16.156789 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 176944:177100, ack 109, win 501, length 156
15:45:16.156933 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 177100:177256, ack 109, win 501, length 156
15:45:16.157109 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 177256:177412, ack 109, win 501, length 156
15:45:16.157291 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 177412:177568, ack 109, win 501, length 156
15:45:16.157435 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 177568:177724, ack 109, win 501, length 156
15:45:16.157563 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 177724:177880, ack 109, win 501, length 156
15:45:16.157739 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 177880:178036, ack 109, win 501, length 156
15:45:16.157864 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178036:178192, ack 109, win 501, length 156
15:45:16.157986 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178192:178348, ack 109, win 501, length 156
15:45:16.158110 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178348:178504, ack 109, win 501, length 156
15:45:16.158230 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178504:178660, ack 109, win 501, length 156
15:45:16.158349 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178660:178816, ack 109, win 501, length 156
15:45:16.158472 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178816:178972, ack 109, win 501, length 156
15:45:16.158597 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 178972:179128, ack 109, win 501, length 156
15:45:16.158718 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 179128:179284, ack 109, win 501, length 156
15:45:16.158844 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 179284:179440, ack 109, win 501, length 156
15:45:16.158965 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 179440:179596, ack 109, win 501, length 156
15:45:16.159126 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 179596:179752, ack 109, win 501, length 156
15:45:16.159257 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 179752:179908, ack 109, win 501, length 156
15:45:16.159397 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 179908:180064, ack 109, win 501, length 156
15:45:16.159518 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 180064:180220, ack 109, win 501, length 156
15:45:16.159668 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 180220:180376, ack 109, win 501, length 156
15:45:16.159796 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 180376:180532, ack 109, win 501, length 156
15:45:16.159920 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 180532:180688, ack 109, win 501, length 156
15:45:16.160041 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 180688:180844, ack 109, win 501, length 156
15:45:16.160279 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 172404, win 18774, length 0
15:45:16.160327 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 180844:181000, ack 109, win 501, length 156
15:45:16.160515 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 181000:181260, ack 109, win 501, length 260
15:45:16.160683 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 181260:181416, ack 109, win 501, length 156
15:45:16.160840 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 181416:181572, ack 109, win 501, length 156
15:45:16.160987 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 181572:181728, ack 109, win 501, length 156
15:45:16.161123 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 181728:181884, ack 109, win 501, length 156
15:45:16.161245 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 181884:182040, ack 109, win 501, length 156
15:45:16.161404 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 182040:182196, ack 109, win 501, length 156
